map_name,number_of_agents,map_dim_rows,map_dim_cols,num_static_obstacles,obstacle_density,fastest_solver,bcp_runtime,cbs_runtime,cbsh_runtime,sat_runtime,solved_by_bcp,solved_by_cbsh,solved_by_cbs,solved_by_sat,y2,y3,y1,map_class,Agent Spars,ROD
Berlin_1_256-even-1_10_agents,10,256,256,17996,0.274597168,CBS,0.376827,0.128067,4.12937,4.71217,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000210349,0.274597168
Berlin_1_256-even-1_110_agents,110,256,256,17996,0.274597168,CBS,1.92985,0.847942,44.526,165.789,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.002313841,0.274597168
Berlin_1_256-even-1_15_agents,15,256,256,17996,0.274597168,CBS,0.497837,0.120567,5.77098,7.49291,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000315524,0.274597168
Berlin_1_256-even-1_160_agents,160,256,256,17996,0.274597168,BCP,3.06407,291.531,45.1213,-1,1,1,1,0,"[1, 1, 1, 0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",BCP,Berlin_1_256,0.003365587,0.274597168
Berlin_1_256-even-1_20_agents,20,256,256,17996,0.274597168,CBS,0.346599,0.083596,7.4759,8.15267,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000420698,0.274597168
Berlin_1_256-even-1_210_agents,210,256,256,17996,0.274597168,BCP,8.82457,-1,88.2258,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.004417333,0.274597168
Berlin_1_256-even-1_25_agents,25,256,256,17996,0.274597168,CBS,0.467709,0.069683,9.75966,11.2159,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000525873,0.274597168
Berlin_1_256-even-1_260_agents,260,256,256,17996,0.274597168,BCP,26.1214,-1,108.035,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.005469079,0.274597168
Berlin_1_256-even-1_30_agents,30,256,256,17996,0.274597168,CBS,0.544304,0.064925,8.02932,14.3034,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000631048,0.274597168
Berlin_1_256-even-1_310_agents,310,256,256,17996,0.274597168,BCP,75.8502,-1,93.0913,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.006520825,0.274597168
Berlin_1_256-even-1_35_agents,35,256,256,17996,0.274597168,CBS,0.581917,0.067135,13.6341,17.2286,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000736222,0.274597168
Berlin_1_256-even-1_360_agents,360,256,256,17996,0.274597168,CBSH,-1,-1,164.305,-1,0,1,0,0,"[0, 1, 0, 0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",CBSH,Berlin_1_256,0.00757257,0.274597168
Berlin_1_256-even-1_40_agents,40,256,256,17996,0.274597168,CBS,0.823976,0.068734,15.194,19.9166,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000841397,0.274597168
Berlin_1_256-even-1_45_agents,45,256,256,17996,0.274597168,CBS,0.738902,0.070559,12.5418,24.5512,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000946571,0.274597168
Berlin_1_256-even-1_5_agents,5,256,256,17996,0.274597168,CBS,0.11479,0.071024,1.42424,4.13142,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000105175,0.274597168
Berlin_1_256-even-1_60_agents,60,256,256,17996,0.274597168,CBS,1.67935,0.209183,16.4491,38.946,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.001262095,0.274597168
Berlin_1_256-even-2_10_agents,10,256,256,17996,0.274597168,CBS,0.265595,0.10788,2.24882,4.48305,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000210349,0.274597168
Berlin_1_256-even-2_110_agents,110,256,256,17996,0.274597168,BCP,3.28093,-1,31.2495,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.002313841,0.274597168
Berlin_1_256-even-2_15_agents,15,256,256,17996,0.274597168,CBS,0.273835,0.06881,3.74654,6.0005,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000315524,0.274597168
Berlin_1_256-even-2_160_agents,160,256,256,17996,0.274597168,BCP,5.69247,-1,46.877,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.003365587,0.274597168
Berlin_1_256-even-2_20_agents,20,256,256,17996,0.274597168,CBS,0.365364,0.073479,6.8224,7.04776,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000420698,0.274597168
Berlin_1_256-even-2_210_agents,210,256,256,17996,0.274597168,BCP,11.3618,-1,61.6765,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.004417333,0.274597168
Berlin_1_256-even-2_25_agents,25,256,256,17996,0.274597168,CBS,0.408927,0.080918,8.74673,7.67746,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",CBS,Berlin_1_256,0.000525873,0.274597168
Berlin_1_256-even-2_260_agents,260,256,256,17996,0.274597168,BCP,23.9486,-1,109.772,-1,1,1,0,0,"[1, 1, 0, 0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",BCP,Berlin_1_256,0.005469079,0.274597168
Berlin_1_256-even-2_30_agents,30,256,256,17996,0.274597168,CBS,0.502096,0.076521,12.0513,10.9314,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",CBS,Berlin_1_256,0.000631048,0.274597168
Berlin_1_256-even-2_35_agents,35,256,256,17996,0.274597168,CBS,0.554327,0.076662,9.4197,11.4294,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000736222,0.274597168
Berlin_1_256-even-2_40_agents,40,256,256,17996,0.274597168,CBS,0.64193,0.079549,14.6922,13.5343,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",CBS,Berlin_1_256,0.000841397,0.274597168
Berlin_1_256-even-2_45_agents,45,256,256,17996,0.274597168,CBS,0.690974,0.091237,17.553,17.288,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",CBS,Berlin_1_256,0.000946571,0.274597168
Berlin_1_256-even-2_5_agents,5,256,256,17996,0.274597168,CBS,0.112954,0.074072,1.38309,3.70792,1,1,1,1,"[1, 1, 1, 1]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",CBS,Berlin_1_256,0.000105175,0.274597168
